zipcode,area,city
71180,Thong Phaphum,Khanchanaburi
71210,Lao Khwan,Khanchanaburi
71220,Nong Prue,Khanchanaburi
71240,Sangkhla Buri,Khanchanaburi
71250,Si Sawat,Khanchanaburi
71260,Dan Makham Tia,Khanchanaburi
77000,Muang prachuap Khirikan,Prachuap Khirikhan
77110,Hua Hin,Prachuap Khirikhan
77120,Pran Buri,Prachuap Khirikhan
77130,Thap Sakae,Prachuap Khirikhan
77140,Bang Saphan,Prachuap Khirikhan
77150,Kui Buri,Prachuap Khirikhan
77170,Bang Saphan Noi,Prachuap Khirikhan
77180,Samaroiyod,Prachuap Khirikhan
80000,Muang Nakhon Si Thammarat,Nakhon Sie Thammarat
80000,Phra Phrom,Nakhon Sie Thammarat
80110,Thung Song,Nakhon Sie Thammarat
80120,Sichon,Nakhon Sie Thammarat
80130,Ron Phibun,Nakhon Sie Thammarat
80130,Chula Phon,Nakhon Sie Thammarat
80140,Pak Phanang,Nakhon Sie Thammarat
80150,Chawang,Nakhon Sie Thammarat
80160,Nob Pitam,Nakhon Sie Thammarat
80160,Tha Sala,Nakhon Sie Thammarat
80170,Hua Sai,Nakhon Sie Thammarat
80180,Cha-uat,Nakhon Sie Thammarat
80190,Chian Yai,Nakhon Sie Thammarat
80190,Chaloem Phrakiat,Nakhon Sie Thammarat
80210,Khanom,Nakhon Sie Thammarat
80220,Na Bon,Nakhon Sie Thammarat
80230,Lan Saka,Nakhon Sie Thammarat
80240,Thung Yai,Nakhon Sie Thammarat
80250,Chang Khlang,Nakhon Sie Thammarat
80260,Tham Punnara,Nakhon Sie Thammarat
80270,Phipun,Nakhon Sie Thammarat
80320,Phromkhiri,Nakhon Sie Thammarat
80360,Bang Khan,Nakhon Sie Thammarat
86000,Muang Chumphon,Chumphon
86110,Lang Suan,Chumphon
86130,Sawi,Chumphon
86140,Tha Sae,Chumphon
86160,Pathiu,Chumphon
86170,Lamae,Chumphon
86180,Phato,Chumphon
86220,Thung Tako,Chumphon
93000,Sri Nakharin,Phatthalung
93000,Muang Phatthalung,Phatthalung
93110,Pa Payam,Phatthalung
93110,Khuan Khanun,Phatthalung
93120,Pak Phayun,Phatthalung
93130,Khao Chaison,Phatthalung
93140,Bang Kaeo,Phatthalung
93160,Tamot,Phatthalung
93170,Pa Bon,Phatthalung
93180,Kong Ra,Phatthalung
93190,Si Ban Phot,Phatthalung
